"ID" "SIZE" "HH" "TYPE" "TIME" "S_NUM" "I_NUM"
"522" 522 3 118 NA NA NA 0
"523" 523 3 118 NA NA NA 0
"524" 524 3 118 NA NA NA 0
"525" 525 4 119 "C" NA NA 0
"526" 526 4 119 "C" NA NA 0
"527" 527 4 119 NA NA NA 0
"528" 528 4 119 NA NA NA 0
"529" 529 6 120 NA NA NA 0
"530" 530 6 120 NA NA NA 0
"531" 531 6 120 "C" NA NA 0
"532" 532 6 120 "C" NA NA 0
"533" 533 6 120 NA NA NA 0
"534" 534 6 120 NA NA NA 0
"535" 535 5 121 NA NA NA 0
"536" 536 5 121 NA NA NA 0
"537" 537 5 121 NA NA NA 0
"538" 538 5 121 NA NA NA 0
"539" 539 5 121 NA NA NA 0
"540" 540 3 122 NA NA NA 0
"541" 541 3 122 NA NA NA 0
"542" 542 3 122 NA NA NA 0
"543" 543 5 123 "C" 308 3 1
"544" 544 5 123 "C" 322 2 1
"545" 545 5 123 "H" 340 0 0
"546" 546 5 123 "H" NA NA 0
"547" 547 5 123 "H" 331 1 1
"548" 548 6 124 NA NA NA 0
"549" 549 6 124 NA NA NA 0
"550" 550 6 124 NA NA NA 0
"551" 551 6 124 NA NA NA 0
"552" 552 6 124 "C" NA NA 0
"553" 553 6 124 NA NA NA 0
"554" 554 4 125 NA NA NA 0
"555" 555 4 125 NA NA NA 0
"556" 556 4 125 NA NA NA 0
"557" 557 4 125 NA NA NA 0
"558" 558 6 126 "H" NA NA 0
"559" 559 6 126 "C" 352 5 2
"560" 560 6 126 NA NA NA 0
"561" 561 6 126 "H" NA NA 0
"562" 562 6 126 NA NA NA 0
"563" 563 6 126 NA NA NA 0
"564" 564 4 127 "C" 146 3 3
"565" 565 4 127 "H" 173 0 0
"566" 566 4 127 "H" 175 0 0
"567" 567 4 127 "H" 177 0 0
"568" 568 4 128 NA NA NA 0
"569" 569 4 128 NA NA NA 0
"570" 570 4 128 NA NA NA 0
"571" 571 4 128 NA NA NA 0
"572" 572 5 129 NA NA NA 0
"573" 573 5 129 NA NA NA 0
"574" 574 5 129 NA NA NA 0
"575" 575 5 129 NA NA NA 0
"576" 576 5 129 NA NA NA 0
