"ID" "SIZE" "HH" "TYPE" "TIME" "S_num" "I_num"
"428" 428 6 94 "E" 226 0 0
"429" 429 6 94 "E" 100 3 0
"430" 430 6 94 "E" 80 4 1
"431" 431 5 95 "E" 176 1 0
"432" 432 5 95 "E" 207 0 0
"433" 433 5 95 "E" 157 2 0
"434" 434 5 95 "E" 127 4 1
"435" 435 5 95 "E" 213 0 0
"436" 436 6 96 "E" 45 3 1
"437" 437 6 96 "E" 68 2 0
"438" 438 6 96 "E" 185 1 0
"439" 439 6 96 "E" 48 2 0
"440" 440 6 96 "E" 64 2 0
"441" 441 6 96 "E" 269 0 0
"442" 442 6 97 "E" 67 4 0
"443" 443 6 97 "E" 142 1 0
"444" 444 6 97 "E" 222 0 0
"445" 445 6 97 "E" 112 1 0
"446" 446 6 97 "E" 129 1 0
"447" 447 6 97 "E" 104 2 1
"448" 448 4 98 "E" 71 1 0
"449" 449 4 98 "E" 279 0 0
"450" 450 4 98 "E" 71 1 0
"451" 451 4 98 "E" 55 1 0
"452" 452 4 99 "E" 160 1 0
"453" 453 4 99 "E" 268 0 0
"454" 454 4 99 "E" 63 2 0
"455" 455 4 99 "E" 83 2 0
"456" 456 5 100 "E" 78 2 1
"457" 457 5 100 "E" 41 3 0
"458" 458 5 100 "E" 100 1 0
"459" 459 5 100 NA NA NA 0
"460" 460 5 100 "E" 88 1 0
"461" 461 6 101 "E" 102 1 0
"462" 462 6 101 NA NA NA 0
"463" 463 6 101 "E" 44 2 0
"464" 464 6 101 "E" 61 1 0
"465" 465 6 101 "E" 40 3 1
"466" 466 6 101 "E" 70 1 0
"467" 467 6 102 "E" 47 3 1
"468" 468 6 102 "E" 78 1 0
"469" 469 6 102 "E" 65 2 0
"470" 470 6 102 "E" 150 0 0
"471" 471 6 102 "E" 84 1 0
"472" 472 6 102 "E" 125 0 0
"473" 473 4 103 "E" 134 2 0
"474" 474 4 103 "E" NA NA 0
"475" 475 4 103 "E" 29 3 0
"476" 476 4 103 "E" 307 0 0
"477" 477 4 104 "E" 27 3 0
"478" 478 4 104 "E" 91 1 0
"479" 479 4 104 "E" 111 1 0
"480" 480 4 104 "E" 245 0 0
"481" 481 6 105 "E" 80 4 0
"482" 482 6 105 "E" 112 2 0
"483" 483 6 105 "E" 165 0 0
"484" 484 6 105 "E" 150 0 0
"485" 485 6 105 "E" 80 4 1
"486" 486 6 105 "E" 133 1 0
"487" 487 3 106 "E" 205 0 0
"488" 488 3 106 "E" 152 1 0
"489" 489 3 106 "E" 60 2 0
"490" 490 5 107 "E" 121 2 0
"491" 491 5 107 "E" 246 0 0
"492" 492 5 107 "E" 77 3 1
"493" 493 5 107 "E" 87 2 0
"494" 494 5 107 "E" 180 1 0
"495" 495 5 108 "E" 33 3 0
"496" 496 5 108 "E" 290 0 0
"497" 497 5 108 "E" 42 3 0
"498" 498 5 108 "E" 305 0 0
"499" 499 5 108 "E" 166 2 0
"500" 500 4 109 "E" 44 2 0
"501" 501 4 109 "E" 36 2 0
"502" 502 4 109 NA NA NA 0
"503" 503 4 109 "E" 206 1 0
"504" 504 3 110 "E" 142 1 0
"505" 505 3 110 "E" NA NA 0
"506" 506 3 110 "E" 147 1 0
"507" 507 6 111 "E" 198 2 0
"508" 508 6 111 NA NA NA 0
"509" 509 6 111 "E" 59 4 0
"510" 510 6 111 "E" 131 3 0
"511" 511 6 111 "E" 242 1 0
"512" 512 6 111 "E" 74 4 0
"513" 513 6 112 "E" 80 4 0
"514" 514 6 112 "E" 76 4 0
"515" 515 6 112 NA NA NA 0
"516" 516 6 112 "E" 107 3 0
"517" 517 6 112 "E" 172 1 0
"518" 518 6 112 "E" 173 1 0
"519" 519 4 113 "E" 56 1 1
"520" 520 4 113 "E" 101 0 0
"521" 521 4 113 "E" 31 1 0
"522" 522 4 113 "E" 20 2 0
"523" 523 5 114 "E" 113 1 0
"524" 524 5 114 "E" 61 4 1
"525" 525 5 114 "E" 137 1 0
"526" 526 5 114 "E" 94 2 0
"527" 527 5 114 "E" 293 0 0
"528" 528 6 115 "E" 170 1 1
"529" 529 6 115 "E" 204 0 0
"530" 530 6 115 "E" 117 2 0
"531" 531 6 115 "E" 82 3 1
"532" 532 6 115 "E" 75 3 0
"533" 533 6 115 "E" 107 2 0
"534" 534 4 116 "E" 114 0 0
"535" 535 4 116 "E" 57 2 0
"536" 536 4 116 "E" 64 2 1
"537" 537 4 116 "E" 100 0 0
"538" 538 3 117 "E" 42 2 0
"539" 539 3 117 "E" 224 0 0
"540" 540 3 117 "E" 83 1 0
"541" 541 4 118 "E" 234 0 0
"542" 542 4 118 "E" 76 3 1
"543" 543 4 118 "E" 236 0 0
"544" 544 4 118 "E" 106 2 0
"545" 545 3 119 "E" 60 1 0
"546" 546 3 119 "E" 65 1 0
"547" 547 3 119 "E" 135 0 0
"548" 548 4 120 NA NA NA 0
"549" 549 4 120 "E" 80 1 0
"550" 550 4 120 "E" 66 1 0
"551" 551 4 120 "E" 52 1 0
"552" 552 4 121 "E" 145 1 0
"553" 553 4 121 "E" 83 2 0
"554" 554 4 121 "E" 361 0 0
"555" 555 4 121 "E" 109 1 0
"556" 556 6 122 NA NA NA 0
"557" 557 6 122 "E" 260 1 0
"558" 558 6 122 "E" 145 2 0
"559" 559 6 122 "E" 78 4 0
"560" 560 6 122 "E" 33 5 0
"561" 561 6 122 "E" 178 2 0
"562" 562 4 123 "E" 137 1 0
"563" 563 4 123 "E" 168 0 0
"564" 564 4 123 "E" 38 3 0
"565" 565 4 123 "E" 100 2 0
"566" 566 5 124 "E" 150 1 0
"567" 567 5 124 "E" 71 3 1
"568" 568 5 124 "E" 112 2 1
"569" 569 5 124 "E" 213 0 0
"570" 570 5 124 "E" 74 2 0
"571" 571 5 125 "E" 235 1 0
"572" 572 5 125 "E" 335 0 0
"573" 573 5 125 "E" 161 3 0
"574" 574 5 125 "E" 160 3 0
"575" 575 5 125 "E" 228 1 0
"576" 576 6 126 "E" 115 3 0
"577" 577 6 126 "E" 47 5 0
"578" 578 6 126 "E" 227 1 0
"579" 579 6 126 "E" 163 2 0
"580" 580 6 126 "E" 323 0 0
"581" 581 6 126 "E" 126 3 0
"582" 582 4 127 "E" 82 1 0
"583" 583 4 127 "E" 59 1 0
"584" 584 4 127 "E" 64 1 0
"585" 585 4 127 NA NA NA 0
"586" 586 5 128 "E" 134 2 0
"587" 587 5 128 "E" 287 0 0
"588" 588 5 128 "E" 195 1 0
"589" 589 5 128 "E" 89 2 0
"590" 590 5 128 "E" 43 4 0
"591" 591 3 129 "E" 180 1 0
"592" 592 3 129 "E" 35 2 0
"593" 593 3 129 "E" 213 0 0
"594" 594 3 130 "E" 32 2 0
"595" 595 3 130 "E" 112 1 0
"596" 596 3 130 "E" 135 0 0
"597" 597 6 131 "E" 187 1 0
"598" 598 6 131 "E" 224 0 0
"599" 599 6 131 "E" 79 4 0
"600" 600 6 131 "E" 119 3 0
"601" 601 6 131 "E" 215 0 0
"602" 602 6 131 "E" 24 5 0
"603" 603 3 132 "E" 268 0 0
"604" 604 3 132 "E" 123 1 0
"605" 605 3 132 "E" 93 1 0
"606" 606 5 133 "E" 132 2 1
"607" 607 5 133 "E" 145 1 0
"608" 608 5 133 "E" 48 4 0
"609" 609 5 133 "E" 290 0 0
"610" 610 5 133 "E" 145 1 0
"611" 611 6 134 NA NA NA 0
"612" 612 6 134 "E" 30 4 0
"613" 613 6 134 "E" 217 1 0
"614" 614 6 134 "E" 147 2 0
"615" 615 6 134 "E" 52 4 0
"616" 616 6 134 "E" 135 2 0
"617" 617 4 135 "E" 62 2 0
"618" 618 4 135 "E" 314 0 0
"619" 619 4 135 "E" 53 2 0
"620" 620 4 135 "E" 194 1 0
"621" 621 6 136 "E" 155 2 0
"622" 622 6 136 "E" 94 3 0
"623" 623 6 136 "E" 137 2 0
"624" 624 6 136 "E" 224 1 0
"625" 625 6 136 "E" 68 3 0
"626" 626 6 136 "E" 355 0 0
"627" 627 5 137 "E" 72 2 0
"628" 628 5 137 "E" 126 0 0
"629" 629 5 137 "E" 54 3 1
"630" 630 5 137 "E" 89 0 0
"631" 631 5 137 "E" 103 0 0
"632" 632 5 138 "E" 33 3 0
"633" 633 5 138 "E" 137 0 0
"634" 634 5 138 "E" 169 0 0
"635" 635 5 138 "E" 116 1 0
"636" 636 5 138 "E" 55 3 0
"637" 637 4 139 "E" 96 1 0
"638" 638 4 139 "E" 35 2 0
"639" 639 4 139 "E" 219 0 0
"640" 640 4 139 "E" 39 2 0
"641" 641 3 140 "E" 184 0 0
"642" 642 3 140 "E" 64 2 0
"643" 643 3 140 "E" 123 1 0
"644" 644 6 141 "E" 176 0 0
"645" 645 6 141 "E" 172 0 0
"646" 646 6 141 "E" 68 4 0
"647" 647 6 141 "E" 113 2 0
"648" 648 6 141 "E" 55 4 0
"649" 649 6 141 "E" 129 2 0
"650" 650 5 142 "E" 48 4 0
"651" 651 5 142 "E" 89 1 0
"652" 652 5 142 "E" 148 0 0
"653" 653 5 142 "E" 96 1 0
"654" 654 5 142 "E" 191 0 0
"655" 655 4 143 "E" 162 1 0
"656" 656 4 143 "E" 321 0 0
"657" 657 4 143 "E" 31 2 0
"658" 658 4 143 "E" 60 2 0
"659" 659 6 144 "E" 55 3 0
"660" 660 6 144 "E" 72 2 0
"661" 661 6 144 "E" 330 0 0
"662" 662 6 144 "E" 88 2 0
"663" 663 6 144 "E" 73 2 0
"664" 664 6 144 "E" 140 1 0
"665" 665 4 145 "E" 281 0 0
"666" 666 4 145 "E" 139 1 0
"667" 667 4 145 "E" 42 3 0
"668" 668 4 145 "E" 93 2 1
"669" 669 5 146 "E" 117 2 0
"670" 670 5 146 "E" 100 2 0
"671" 671 5 146 "E" 150 1 0
"672" 672 5 146 "E" 274 0 0
"673" 673 5 146 "E" 79 4 1
"674" 674 5 147 "E" 106 0 0
"675" 675 5 147 "E" 135 0 0
"676" 676 5 147 "E" 79 1 0
"677" 677 5 147 "E" 63 2 1
"678" 678 5 147 "E" 47 2 0
"679" 679 4 148 "E" 100 1 0
"680" 680 4 148 "E" 65 3 0
"681" 681 4 148 "E" NA NA 0
"682" 682 4 148 "E" 103 1 0
"683" 683 6 149 "E" 73 4 0
"684" 684 6 149 "E" 101 3 1
"685" 685 6 149 "E" 78 4 1
"686" 686 6 149 "E" 164 1 0
"687" 687 6 149 "E" 146 1 0
"688" 688 6 149 "E" 276 0 0
"689" 689 3 150 "E" 79 0 0
"690" 690 3 150 "E" 77 0 0
"691" 691 3 150 "E" 113 0 0
